iter	Passed	Remaining
896	5997	688
897	6003	681
898	6008	675
899	6014	668
900	6020	661
901	6026	654
902	6032	647
903	6038	641
904	6044	634
905	6051	627
906	6058	621
907	6064	614
908	6070	607
909	6076	600
910	6081	594
911	6087	587
912	6093	580
913	6100	573
914	6106	567
915	6113	560
916	6120	553
917	6125	547
918	6131	540
919	6137	533
920	6142	526
921	6149	520
922	6155	513
923	6161	506
924	6168	500
925	6175	493
926	6180	486
927	6186	480
928	6192	473
929	6198	466
930	6203	459
931	6209	453
932	6215	446
933	6221	439
934	6227	432
935	6233	426
936	6239	419
937	6246	412
938	6251	406
939	6258	399
940	6264	392
941	6271	386
942	6276	379
943	6283	372
944	6288	366
945	6294	359
946	6300	352
947	6305	345
948	6311	339
949	6318	332
950	6324	325
951	6330	319
952	6335	312
953	6341	305
954	6348	299
955	6353	292
956	6360	285
957	6366	279
958	6372	272
959	6378	265
960	6384	259
961	6390	252
962	6396	245
963	6402	239
964	6408	232
965	6414	225
966	6419	219
967	6425	212
968	6431	205
969	6438	199
970	6444	192
971	6450	185
972	6455	179
973	6462	172
974	6468	165
975	6474	159
976	6480	152
977	6487	145
978	6493	139
979	6499	132
980	6504	125
981	6511	119
982	6517	112
983	6523	106
984	6530	99
985	6535	92
986	6542	86
987	6547	79
988	6554	72
989	6560	66
990	6567	59
991	6572	53
992	6578	46
993	6584	39
994	6591	33
995	6597	26
996	6603	19
997	6616	13
998	6621	6
999	6627	0
